axis,axis_name,metric,operationalisation,does_not_measure,lower_is_better,action_only_mean,action_only_ci_lower,action_only_ci_upper,joint_mean,joint_ci_lower,joint_ci_upper,joint_advantage_metric_key,joint_advantage_mean,joint_advantage_ci_lower,joint_advantage_ci_upper,seeds_favouring_joint,verdict
A,Action Performance,Action Macro-F1,4-action Macro-F1 @ 0.5,not a safety guarantee,False,0.6740501115284726,0.6663042760194143,0.6819338568556327,0.6855859853354236,0.6791239227939492,0.6921792720753392,delta_action_macro_f1::Joint-Action,0.01153587380695098,0.001590257203564117,0.021806661779489526,3,Joint better (95% CI excludes 0)
A,Action Performance,Action Micro-F1,4-action Macro-F1 @ 0.5,not a safety guarantee,False,0.7096820548309706,0.7040308355855485,0.7156156062996468,0.7187830661105028,0.7136874934025678,0.7240293689869185,,,,,,reported for completeness; no frozen paired interval
R,Rationale-label Performance,Rationale Macro-F1 (21 classes),21-class rationale Macro-F1 @ 0.5,not reasoning faithfulness,False,,,,0.27358892695121106,0.256070571146934,0.29287163778895875,,,,,,single-model axis (Action-Only has no R head)
R,Rationale-label Performance,Rationale Micro-F1 (21 classes),21-class rationale Macro-F1 @ 0.5,not reasoning faithfulness,False,,,,0.503061855632136,0.48354562275570895,0.5224618346099211,,,,,,single-model axis (Action-Only has no R head)
S,Selective Risk & Calibration,"AURC (exact-set error, calibrated)","AURC / UAR@90 / ECE (exact-set error, calibrated)",not 'Safety'; a selective-prediction operating characteristic,True,0.38882409328343187,0.3764674896703155,0.4006368458127709,0.3722272509161375,0.3524066997384557,0.39023158344815473,delta_aurc::Joint-Action,0.016596842367294407,0.0003998776103776196,0.03355802443121559,4,Joint better (95% CI excludes 0)
S,Selective Risk & Calibration,UAR@90 (risk at 90% coverage),"AURC / UAR@90 / ECE (exact-set error, calibrated)",not 'Safety'; a selective-prediction operating characteristic,True,0.490931253047294,0.4823013164310093,0.49995368113115557,0.47986348122866895,0.4642052657240371,0.49234641638225257,delta_unsafe_acceptance_rate_90::Joint-Action,0.011067771818625071,-0.002000243783520249,0.026036079960994628,3,inconclusive (95% CI includes 0)
S,Selective Risk & Calibration,ECE (calibrated),"AURC / UAR@90 / ECE (exact-set error, calibrated)",not 'Safety'; a selective-prediction operating characteristic,True,0.3240072168864709,0.31678963436739543,0.3308474680912908,0.32446133748609124,0.3030977229409394,0.3405773160562586,delta_ece_calibrated::Joint-Action,-0.00045412059962033344,-0.016290533106273274,0.020440229698383144,1,inconclusive (95% CI includes 0)
C1,Prediction Stability,Action-set flip rate (mean of 3 families),clean vs perturbed action-set flip rate @ 0.5,"not real-road robustness, not evidence faithfulness",True,0.1185429010313803,0.11288091580718308,0.12426303854875283,0.10243581303489138,0.08337356447955527,0.11643625192012289,advantage_action_flip_rate_mean_three::Action-Joint,0.016107087996488918,0.0010090702947845778,0.03281435154707042,4,Joint better (95% CI excludes 0)
C1,Prediction Stability,Action-set flip rate (brightness),clean vs perturbed action-set flip rate @ 0.5,"not real-road robustness, not evidence faithfulness",True,0.10111915734035551,0.0956769804696072,0.10673688830370857,0.08755760368663594,0.06740838270792186,0.10428022822032036,advantage_action_flip_rate_brightness::Action-Joint,0.013561553653719555,-0.00355716480140443,0.03199473337722186,3,inconclusive (95% CI includes 0)
C1,Prediction Stability,Action-set flip rate (blur),clean vs perturbed action-set flip rate @ 0.5,"not real-road robustness, not evidence faithfulness",True,0.12688172043010754,0.11814680710994076,0.13504608294930875,0.11770901909150758,0.09773754663155586,0.13153390388413427,advantage_action_flip_rate_blur::Action-Joint,0.009172701338599955,-0.008427693658108406,0.028223612025455327,3,inconclusive (95% CI includes 0)
C1,Prediction Stability,Action-set flip rate (noise),clean vs perturbed action-set flip rate @ 0.5,"not real-road robustness, not evidence faithfulness",True,0.12762782532367786,0.119596225587009,0.13548496818082073,0.10204081632653061,0.08364933070002195,0.11678845731841123,advantage_action_flip_rate_noise::Action-Joint,0.025587008997147255,0.011322141759929783,0.03958964230853631,5,Joint better (95% CI excludes 0)
