class_index,class_name,support,support_rate,f1_mean,f1_sd,f1_min,f1_max,precision_mean,recall_mean,predicted_positive_mean,seeds_with_zero_f1,seeds_never_predicting_class,zero_in_all_seeds,f1_seed_43,f1_seed_44,f1_seed_45,f1_seed_46,f1_seed_47
0,green_light,1574,0.34540267719991224,0.6422712077116781,0.02416920688469638,0.6064420584968531,0.6703431372549019,0.6730856244487082,0.6204574332909785,1460.4,0,0,False,0.6458961474036851,0.6703431372549019,0.6553637484586929,0.6333109469442579,0.6064420584968531
1,follow,667,0.14636822470923855,0.4781707212113847,0.02711411916078464,0.4576744186046512,0.5104,0.562211823229144,0.4197901049475262,500.6,0,0,False,0.5051792828685259,0.4576744186046512,0.4597902097902098,0.4578096947935368,0.5104
2,road_clear,941,0.20649550142637701,0.38838802429300323,0.055392138776719155,0.2946357085668535,0.44126416219439474,0.5270589441584483,0.3171094580233794,577.6,0,0,False,0.39372138652714195,0.44126416219439474,0.4024390243902439,0.2946357085668535,0.4098798397863818
3,red_light,1083,0.23765635286372613,0.6012215734994035,0.03277684713082746,0.5447941888619855,0.6303696303696303,0.7385367005205669,0.5117266851338874,755.4,0,0,False,0.6126418152350082,0.6110812264658418,0.5447941888619855,0.6072210065645515,0.6303696303696303
4,traffic_sign,302,0.0662716699583059,0.438858888150426,0.030064802903704124,0.40097799511002447,0.48123620309050774,0.7290964817306037,0.3152317880794702,131.0,0,0,False,0.48123620309050774,0.45248868778280543,0.40097799511002447,0.4339622641509434,0.425629290617849
5,car,39,0.008558262014483212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,True,0.0,0.0,0.0,0.0,0.0
6,person,34,0.007461048935703314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,True,0.0,0.0,0.0,0.0,0.0
7,rider,1037,0.22756199253895107,0.7341994498554207,0.023156465294158178,0.7046979865771812,0.7541157727031333,0.8341094274845762,0.6574734811957571,818.6,0,0,False,0.7474120082815735,0.7510504201680672,0.7046979865771812,0.7137210615471485,0.7541157727031333
8,other_obstacle,89,0.019530392802282203,0.008695652173913044,0.019444069369563388,0.0,0.043478260869565216,0.13333333333333333,0.00449438202247191,0.6,4,4,False,0.0,0.0,0.0,0.0,0.043478260869565216
9,left_lane,29,0.006363835856923414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,True,0.0,0.0,0.0,0.0,0.0
10,left_green_light,136,0.029844195742813256,0.005594405594405594,0.012509471202796028,0.0,0.027972027972027972,0.05714285714285714,0.0029411764705882353,1.4,4,4,False,0.0,0.0,0.0,0.0,0.027972027972027972
11,left_follow,68,0.014922097871406628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,True,0.0,0.0,0.0,0.0,0.0
12,no_left_lane,23,0.005047180162387536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,True,0.0,0.0,0.0,0.0,0.0
13,left_obstacle,175,0.03840245775729647,0.03843025377543774,0.056720089760231567,0.0,0.13658536585365855,0.379047619047619,0.021714285714285714,7.8,2,2,False,0.022598870056497175,0.03296703296703297,0.0,0.0,0.13658536585365855
14,left_solid_line,69,0.015141540487162607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,True,0.0,0.0,0.0,0.0,0.0
15,right_lane,860,0.18872064955014264,0.49060460896293234,0.05485657655128109,0.42165709598031176,0.5469387755102041,0.684257077089259,0.38697674418604655,488.2,0,0,False,0.5469387755102041,0.5136531365313654,0.4434108527131783,0.42165709598031176,0.527363184079602
16,right_green_light,897,0.1968400263331139,0.38672765466978065,0.04379329515984561,0.3278955954323002,0.4474053295932679,0.6092500812682573,0.2853957636566332,420.4,0,0,False,0.38537699923838536,0.4027047332832457,0.37025561580170413,0.3278955954323002,0.4474053295932679
17,right_follow,713,0.1564625850340136,0.3908015724635877,0.07497919432846191,0.27729257641921395,0.4816396242527754,0.6210656448015829,0.29144460028050495,335.8,0,0,False,0.4225865209471767,0.39848914069877245,0.374,0.27729257641921395,0.4816396242527754
18,no_right_lane,1182,0.2593811718235681,0.572317316466228,0.050042616089163924,0.48881239242685026,0.6171320397539044,0.7123419107142349,0.4842639593908629,808.0,0,0,False,0.6171320397539044,0.5672544080604534,0.48881239242685026,0.5993330157217722,0.5890547263681593
19,right_obstacle,826,0.18125960061443933,0.2764823988262636,0.08153620102066246,0.1643835616438356,0.39068994181213634,0.625317387841188,0.1820823244552058,240.8,0,0,False,0.2721217887725975,0.2556818181818182,0.29953488372093023,0.1643835616438356,0.39068994181213634
20,right_solid_line,403,0.08843537414965986,0.2926037383215681,0.07019222018779807,0.23107569721115537,0.40404040404040403,0.5964668159085829,0.19702233250620343,132.4,0,0,False,0.3176895306859206,0.2607003891050584,0.24951267056530213,0.23107569721115537,0.40404040404040403
