family,axis,axis_name,model,severity_level,severity_parameter,raw_mean_across_seeds,degradation_mean_across_seeds,degradation_sd_across_seeds,degradation_sign_convention,family_axis_gate_passed
brightness,A,Action Performance,Action-Only,0,1.0,0.6740501115284726,0.0,0.0,positive_is_worse,False
brightness,A,Action Performance,Action-Only,1,1.05,0.6724059492379426,0.0016441622905299935,0.0021180068536443258,positive_is_worse,False
brightness,A,Action Performance,Action-Only,2,1.1,0.6742317879597757,-0.0001816764313029573,0.0020970866606767353,positive_is_worse,False
brightness,A,Action Performance,Action-Only,3,1.2,0.6734561731320612,0.0005939383964114642,0.0021210679456603065,positive_is_worse,False
brightness,A,Action Performance,Action-Only,4,1.3,0.6708638959145032,0.0031862156139695007,0.001680519441382691,positive_is_worse,False
brightness,A,Action Performance,Joint Action-Rationale,0,1.0,0.6855859853354236,0.0,0.0,positive_is_worse,False
brightness,A,Action Performance,Joint Action-Rationale,1,1.05,0.6854821607327202,0.00010382460270343951,0.0008023814039979668,positive_is_worse,False
brightness,A,Action Performance,Joint Action-Rationale,2,1.1,0.6857360118300042,-0.00015002649458055738,0.001277462567700949,positive_is_worse,False
brightness,A,Action Performance,Joint Action-Rationale,3,1.2,0.6856523361656809,-6.635083025732235e-05,0.0018811039425354007,positive_is_worse,False
brightness,A,Action Performance,Joint Action-Rationale,4,1.3,0.6838347604786535,0.0017512248567700395,0.00214609278807512,positive_is_worse,False
brightness,R,Rationale-label Performance,Joint Action-Rationale,0,1.0,0.27358892695121106,0.0,0.0,positive_is_worse,False
brightness,R,Rationale-label Performance,Joint Action-Rationale,1,1.05,0.2738405458620889,-0.0002516189108778599,0.001274200076228351,positive_is_worse,False
brightness,R,Rationale-label Performance,Joint Action-Rationale,2,1.1,0.2731810581143095,0.000407868836901587,0.0010224131127927903,positive_is_worse,False
brightness,R,Rationale-label Performance,Joint Action-Rationale,3,1.2,0.2719375642761976,0.0016513626750134457,0.0011649041841028478,positive_is_worse,False
brightness,R,Rationale-label Performance,Joint Action-Rationale,4,1.3,0.2691983052164944,0.004390621734716699,0.0013946199994520389,positive_is_worse,False
brightness,S,Selective Risk & Calibration,Action-Only,0,1.0,0.38880492564632074,0.0,0.0,positive_is_worse,False
brightness,S,Selective Risk & Calibration,Action-Only,1,1.05,0.3897466932578,0.0009417676114792161,0.0036978785660017792,positive_is_worse,False
