confidence_construction,confidence_role,metric,quantity,mean_across_seeds,sd_across_seeds,hierarchical_ci_lower,hierarchical_ci_upper
S0,frozen_primary,aurc,Action-Only,0.38882409328343187,0.011159723592609283,0.3764674896703155,0.4006368458127709
S0,frozen_primary,aurc,Joint Action-Rationale,0.3722272509161375,0.022285765557162263,0.3524066997384557,0.39023158344815473
S0,frozen_primary,aurc,delta_joint_minus_action,-0.016596842367294407,0.018883185970400517,-0.03355802443121559,-0.0003998776103776196
S0,frozen_primary,unsafe_acceptance_rate_90,Action-Only,0.490931253047294,0.0065853144448156245,0.4823013164310093,0.49995368113115557
S0,frozen_primary,unsafe_acceptance_rate_90,Joint Action-Rationale,0.47986348122866895,0.01704358918411595,0.4642052657240371,0.49234641638225257
S0,frozen_primary,unsafe_acceptance_rate_90,delta_joint_minus_action,-0.011067771818625071,0.0165284507591681,-0.026036079960994628,0.002000243783520249
S0,frozen_primary,ece,Action-Only,0.3240072168864709,0.004124431252549603,0.31678963436739543,0.3308474680912908
S0,frozen_primary,ece,Joint Action-Rationale,0.32446133748609124,0.023604140797377358,0.3030977229409394,0.3405773160562586
S0,frozen_primary,ece,delta_joint_minus_action,0.00045412059962033344,0.023039738732017985,-0.020440229698383144,0.016290533106273274
S1,construct_audit_alternative,aurc,Action-Only,0.33980396918264805,0.007676928902140465,0.32975948224444424,0.34943620928406816
S1,construct_audit_alternative,aurc,Joint Action-Rationale,0.3185137034475308,0.019001989284055252,0.3006150890663233,0.33324948448387753
S1,construct_audit_alternative,aurc,delta_joint_minus_action,-0.021290265735117164,0.01510681944694899,-0.03592799169446874,-0.009964425638603192
S1,construct_audit_alternative,unsafe_acceptance_rate_90,Action-Only,0.4882496343247197,0.0068637075866890005,0.47913091175036565,0.496977084349098
S1,construct_audit_alternative,unsafe_acceptance_rate_90,Joint Action-Rationale,0.4772306192101414,0.01674368681829474,0.46143222818137497,0.4894685519258898
S1,construct_audit_alternative,unsafe_acceptance_rate_90,delta_joint_minus_action,-0.011019015114578246,0.015739997720140786,-0.02515967820575329,0.0020965382740126717
S1,construct_audit_alternative,ece,Action-Only,0.09872158553188218,0.0064827576159483475,0.09070346921211599,0.10682026068218214
S1,construct_audit_alternative,ece,Joint Action-Rationale,0.09550360098133209,0.010042291533561672,0.08680310026546455,0.10586037688847308
S1,construct_audit_alternative,ece,delta_joint_minus_action,-0.0032179845505500874,0.007027318787218608,-0.010495806789922459,0.004816321645049835
S2,construct_audit_alternative,aurc,Action-Only,0.3441160228356258,0.0070994801604887395,0.33427812696771386,0.3536905344430526
S2,construct_audit_alternative,aurc,Joint Action-Rationale,0.32120282466206995,0.018049622714734474,0.3042849539556084,0.3348728490711131
S2,construct_audit_alternative,aurc,delta_joint_minus_action,-0.022913198173555815,0.017227016151588493,-0.03937925034550604,-0.010254006895860526
S2,construct_audit_alternative,unsafe_acceptance_rate_90,Action-Only,0.4947342759629449,0.006356161509959135,0.4857606045831302,0.5034141882008777
S2,construct_audit_alternative,unsafe_acceptance_rate_90,Joint Action-Rationale,0.48088737201365184,0.018706791606712805,0.46391760117016084,0.49444173573866407
S2,construct_audit_alternative,unsafe_acceptance_rate_90,delta_joint_minus_action,-0.013846903949293022,0.01636021741350542,-0.02857142857142858,-0.000778888347147755
S2,construct_audit_alternative,ece,Action-Only,0.18490833301349782,0.005921296241572819,0.1771450650382546,0.1927412895997868
S2,construct_audit_alternative,ece,Joint Action-Rationale,0.1749486371251956,0.011734672648123152,0.16476884520529256,0.18627740472177146
S2,construct_audit_alternative,ece,delta_joint_minus_action,-0.009959695888302205,0.01182915105966673,-0.020566855474737637,0.001247419519309266
