confidence_construction,metric,quantity,seed,estimate
S0,aurc,Action-Only,43,0.3734892826339159
S0,aurc,Action-Only,44,0.39995108947180996
S0,aurc,Action-Only,45,0.38513361225255244
S0,aurc,Action-Only,46,0.38590374051112847
S0,aurc,Action-Only,47,0.39964274154775264
S0,aurc,Joint Action-Rationale,43,0.3580176254209994
S0,aurc,Joint Action-Rationale,44,0.3918369113040415
S0,aurc,Joint Action-Rationale,45,0.39148755494536613
S0,aurc,Joint Action-Rationale,46,0.3408557621801786
S0,aurc,Joint Action-Rationale,47,0.3789384007301017
S0,aurc,delta_joint_minus_action,43,-0.01547165721291649
S0,aurc,delta_joint_minus_action,44,-0.008114178167768438
S0,aurc,delta_joint_minus_action,45,0.006353942692813697
S0,aurc,delta_joint_minus_action,46,-0.04504797833094987
S0,aurc,delta_joint_minus_action,47,-0.020704340817650935
S0,unsafe_acceptance_rate_90,Action-Only,43,0.49658703071672355
S0,unsafe_acceptance_rate_90,Action-Only,44,0.4900048756704047
S0,unsafe_acceptance_rate_90,Action-Only,45,0.4985372988785958
S0,unsafe_acceptance_rate_90,Action-Only,46,0.48659190638712824
S0,unsafe_acceptance_rate_90,Action-Only,47,0.48293515358361777
S0,unsafe_acceptance_rate_90,Joint Action-Rationale,43,0.48147245246221354
S0,unsafe_acceptance_rate_90,Joint Action-Rationale,44,0.4907362262311068
S0,unsafe_acceptance_rate_90,Joint Action-Rationale,45,0.48829839102876643
S0,unsafe_acceptance_rate_90,Joint Action-Rationale,46,0.4500243783520234
S0,unsafe_acceptance_rate_90,Joint Action-Rationale,47,0.4887859580692345
S0,unsafe_acceptance_rate_90,delta_joint_minus_action,43,-0.015114578254510014
S0,unsafe_acceptance_rate_90,delta_joint_minus_action,44,0.0007313505607021153
S0,unsafe_acceptance_rate_90,delta_joint_minus_action,45,-0.010238907849829393
S0,unsafe_acceptance_rate_90,delta_joint_minus_action,46,-0.036567528035104824
S0,unsafe_acceptance_rate_90,delta_joint_minus_action,47,0.005850804485616756
S0,ece,Action-Only,43,0.3282950660194483
S0,ece,Action-Only,44,0.3280800593920099
S0,ece,Action-Only,45,0.318841116651822
S0,ece,Action-Only,46,0.32320952659117813
S0,ece,Action-Only,47,0.32161031577789595
S0,ece,Joint Action-Rationale,43,0.3285913191828831
S0,ece,Joint Action-Rationale,44,0.3470004931737897
S0,ece,Joint Action-Rationale,45,0.3326254916523207
S0,ece,Joint Action-Rationale,46,0.2843486672811002
S0,ece,Joint Action-Rationale,47,0.32974071614036227
S0,ece,delta_joint_minus_action,43,0.0002962531634347898
S0,ece,delta_joint_minus_action,44,0.018920433781779822
S0,ece,delta_joint_minus_action,45,0.013784375000498672
S0,ece,delta_joint_minus_action,46,-0.03886085931007793
S0,ece,delta_joint_minus_action,47,0.008130400362466317
S1,aurc,Action-Only,43,0.3317862254471956
S1,aurc,Action-Only,44,0.3518823446177467
S1,aurc,Action-Only,45,0.3412394617309994
S1,aurc,Action-Only,46,0.33500587632907336
S1,aurc,Action-Only,47,0.33910593778822495
S1,aurc,Joint Action-Rationale,43,0.3139551403241296
S1,aurc,Joint Action-Rationale,44,0.3339520310956034
S1,aurc,Joint Action-Rationale,45,0.33024896320056735
S1,aurc,Joint Action-Rationale,46,0.2873096596300874
S1,aurc,Joint Action-Rationale,47,0.32710272298726645
S1,aurc,delta_joint_minus_action,43,-0.017831085123066026
S1,aurc,delta_joint_minus_action,44,-0.017930313522143304
S1,aurc,delta_joint_minus_action,45,-0.010990498530432047
S1,aurc,delta_joint_minus_action,46,-0.04769621669898594
S1,aurc,delta_joint_minus_action,47,-0.012003214800958506
S1,unsafe_acceptance_rate_90,Action-Only,43,0.492198927352511
S1,unsafe_acceptance_rate_90,Action-Only,44,0.4904924427108727
S1,unsafe_acceptance_rate_90,Action-Only,45,0.49609946367625546
S1,unsafe_acceptance_rate_90,Action-Only,46,0.4831789371038518
S1,unsafe_acceptance_rate_90,Action-Only,47,0.47927840078010725
S1,unsafe_acceptance_rate_90,Joint Action-Rationale,43,0.4780594831789371
S1,unsafe_acceptance_rate_90,Joint Action-Rationale,44,0.4880546075085324
S1,unsafe_acceptance_rate_90,Joint Action-Rationale,45,0.4856167723061921
S1,unsafe_acceptance_rate_90,Joint Action-Rationale,46,0.44807411019015114
S1,unsafe_acceptance_rate_90,Joint Action-Rationale,47,0.4863481228668942
