Model,Dimension,Class,F1
Action-Only,Action,Forward,0.8085519922254616
Action-Only,Action,Stop,0.7592638036809816
Action-Only,Action,Left,0.5717832023169218
Action-Only,Action,Right,0.5647840531561462
Joint Action-Rationale,Action,Forward,0.8108210367007189
Joint Action-Rationale,Action,Stop,0.7632172387872713
Joint Action-Rationale,Action,Left,0.5804195804195804
Joint Action-Rationale,Action,Right,0.5918449737585789
Joint-Calibrated,Action,Forward,0.8108210367007189
Joint-Calibrated,Action,Stop,0.7632172387872713
Joint-Calibrated,Action,Left,0.5804195804195804
Joint-Calibrated,Action,Right,0.5918449737585789
Joint Action-Rationale,Rationale,green_light,0.66541588492808
Joint Action-Rationale,Rationale,follow,0.44150943396226416
Joint Action-Rationale,Rationale,road_clear,0.40959170447180815
Joint Action-Rationale,Rationale,red_light,0.5894854586129754
Joint Action-Rationale,Rationale,traffic_sign,0.48156182212581344
Joint Action-Rationale,Rationale,car,0.0
Joint Action-Rationale,Rationale,person,0.0
Joint Action-Rationale,Rationale,rider,0.7585492227979275
Joint Action-Rationale,Rationale,other_obstacle,0.043010752688172046
Joint Action-Rationale,Rationale,left_lane,0.0
Joint Action-Rationale,Rationale,left_green_light,0.0
Joint Action-Rationale,Rationale,left_follow,0.0
Joint Action-Rationale,Rationale,no_left_lane,0.0
Joint Action-Rationale,Rationale,left_obstacle,0.1116751269035533
Joint Action-Rationale,Rationale,left_solid_line,0.0
Joint Action-Rationale,Rationale,right_lane,0.56625
Joint Action-Rationale,Rationale,right_green_light,0.42042042042042044
Joint Action-Rationale,Rationale,right_follow,0.42923219241443106
Joint Action-Rationale,Rationale,no_right_lane,0.624367816091954
Joint Action-Rationale,Rationale,right_obstacle,0.3684661525278492
Joint Action-Rationale,Rationale,right_solid_line,0.41127694859038144
Joint-Calibrated,Rationale,green_light,0.66541588492808
Joint-Calibrated,Rationale,follow,0.44150943396226416
Joint-Calibrated,Rationale,road_clear,0.40959170447180815
Joint-Calibrated,Rationale,red_light,0.5894854586129754
Joint-Calibrated,Rationale,traffic_sign,0.48156182212581344
Joint-Calibrated,Rationale,car,0.0
Joint-Calibrated,Rationale,person,0.0
Joint-Calibrated,Rationale,rider,0.7585492227979275
Joint-Calibrated,Rationale,other_obstacle,0.043010752688172046
Joint-Calibrated,Rationale,left_lane,0.0
Joint-Calibrated,Rationale,left_green_light,0.0
Joint-Calibrated,Rationale,left_follow,0.0
Joint-Calibrated,Rationale,no_left_lane,0.0
Joint-Calibrated,Rationale,left_obstacle,0.1116751269035533
Joint-Calibrated,Rationale,left_solid_line,0.0
Joint-Calibrated,Rationale,right_lane,0.56625
Joint-Calibrated,Rationale,right_green_light,0.42042042042042044
Joint-Calibrated,Rationale,right_follow,0.42923219241443106
Joint-Calibrated,Rationale,no_right_lane,0.624367816091954
Joint-Calibrated,Rationale,right_obstacle,0.3684661525278492
Joint-Calibrated,Rationale,right_solid_line,0.41127694859038144
