contrast,mean_across_seeds,sd_across_seeds,positive_seed_count,ci_lower,ci_upper,direction_gate_passed
A::original_minus_combined::Action-Only,0.31296231486835413,0.006297777837509251,5,0.29990074990070187,0.3262911358598795,True
A::original_minus_combined::Joint Action-Rationale,0.3200325458871885,0.010048034047154515,5,0.30587116113844126,0.33533729890716507,True
R::original_minus_combined::Joint Action-Rationale,0.23038905658334716,0.021235101826769975,5,0.2134732896391,0.2476984103881042,True
S_confidence::random_minus_original::Action-Only,0.1376712026004689,0.0118599622679537,5,0.11913664608796,0.1563199201745502,True
S_confidence::random_minus_original::Joint Action-Rationale,0.14653917188391813,0.013627778598037299,5,0.1286281856297293,0.16579863928841845,True
C1_action::wrong_minus_correct::Action-Only,0.6697388632872504,0.00987193717430817,5,0.6572448979591837,0.6822350230414745,True
C1_action::wrong_minus_correct::Joint Action-Rationale,0.6887133347962842,0.009407723308281329,5,0.6757918221051862,0.7005643332601859,True
C1_rationale::correct_minus_wrong::Joint Action-Rationale,0.7825384982462007,0.009655149178201958,5,0.7719736120254553,0.792558343870062,True
S_measurement::adversarial_minus_oracle::Action-Only,0.6920179615709484,0.0004839687696508033,5,0.6905218162557945,0.6928246520026822,True
S_measurement::adversarial_minus_oracle::Joint Action-Rationale,0.692388537708485,0.00030091062190269264,5,0.6913246638264305,0.6928709426990158,True
