Cohort,Condition,Metric,Preferred_Direction,Samples,Comparison_Type,Model,Reference_Model,Contrast_Direction,Estimate,CI_Lower,CI_Upper,Bootstrap_Probability_GT_Zero,Bootstrap_Probability_LT_Zero
clean,official_test,action_macro_f1,higher,4557,model_estimate,Action-Only,,,0.6760957628448777,0.6650781459838575,0.6864467960963117,,
clean,official_test,action_macro_f1,higher,4557,model_estimate,Joint Action-Rationale,,,0.6865757074165373,0.6755973402345764,0.6970707451048485,,
clean,official_test,action_macro_f1,higher,4557,model_estimate,Joint-Calibrated,,,0.6865757074165373,0.6755973402345764,0.6970707451048485,,
clean,official_test,action_macro_f1,higher,4557,paired_contrast,Joint Action-Rationale,Action-Only,Joint Action-Rationale - Action-Only,0.010479944571659572,0.001245183616618221,0.01965719847616531,0.988,0.012
clean,official_test,action_macro_f1,higher,4557,paired_contrast,Joint-Calibrated,Action-Only,Joint-Calibrated - Action-Only,0.010479944571659572,0.001245183616618221,0.01965719847616531,0.988,0.012
clean,official_test,action_macro_f1,higher,4557,paired_contrast,Joint-Calibrated,Joint Action-Rationale,Joint-Calibrated - Joint Action-Rationale,0.0,0.0,0.0,0.0,0.0
clean,official_test,aurc,lower,4557,model_estimate,Action-Only,,,0.4000262648084986,0.38086434004012226,0.4196619589507718,,
clean,official_test,aurc,lower,4557,model_estimate,Joint Action-Rationale,,,0.3896950874006301,0.37123086743264944,0.40898961307451204,,
clean,official_test,aurc,lower,4557,model_estimate,Joint-Calibrated,,,0.3896950874006301,0.37123086743264944,0.40898961307451204,,
clean,official_test,aurc,lower,4557,paired_contrast,Joint Action-Rationale,Action-Only,Joint Action-Rationale - Action-Only,-0.010331177407868541,-0.027954879035027864,0.007568216812050539,0.1355,0.8645
clean,official_test,aurc,lower,4557,paired_contrast,Joint-Calibrated,Action-Only,Joint-Calibrated - Action-Only,-0.010331177407868541,-0.027954879035027864,0.007568216812050539,0.1355,0.8645
clean,official_test,aurc,lower,4557,paired_contrast,Joint-Calibrated,Joint Action-Rationale,Joint-Calibrated - Joint Action-Rationale,0.0,0.0,0.0,0.0,0.0
clean,official_test,ece,lower,4557,model_estimate,Action-Only,,,0.4775508859470871,0.4631587498943886,0.49139423909226115,,
clean,official_test,ece,lower,4557,model_estimate,Joint Action-Rationale,,,0.4616886293938175,0.44859346721464255,0.47606302584845595,,
clean,official_test,ece,lower,4557,model_estimate,Joint-Calibrated,,,0.3377588928563727,0.32483901068692356,0.3519093273701527,,
clean,official_test,ece,lower,4557,paired_contrast,Joint Action-Rationale,Action-Only,Joint Action-Rationale - Action-Only,-0.015862256553269616,-0.028956562275856173,-0.0024949750698795878,0.01,0.99
clean,official_test,ece,lower,4557,paired_contrast,Joint-Calibrated,Action-Only,Joint-Calibrated - Action-Only,-0.13979199309071438,-0.15289095254362636,-0.1262573634430262,0.0,1.0
clean,official_test,ece,lower,4557,paired_contrast,Joint-Calibrated,Joint Action-Rationale,Joint-Calibrated - Joint Action-Rationale,-0.12392973653744477,-0.12579819702287073,-0.1220358701969728,0.0,1.0
clean,official_test,rationale_macro_f1,higher,4557,model_estimate,Joint Action-Rationale,,,0.3009910922159824,0.2937221517204915,0.30826877632274213,,
clean,official_test,rationale_macro_f1,higher,4557,model_estimate,Joint-Calibrated,,,0.3009910922159824,0.2937221517204915,0.30826877632274213,,
clean,official_test,rationale_macro_f1,higher,4557,paired_contrast,Joint-Calibrated,Joint Action-Rationale,Joint-Calibrated - Joint Action-Rationale,0.0,0.0,0.0,0.0,0.0
clean,official_test,unsafe_acceptance_rate_90,lower,4557,model_estimate,Action-Only,,,0.5026816187225743,0.48732325694783035,0.5182837640175524,,
clean,official_test,unsafe_acceptance_rate_90,lower,4557,model_estimate,Joint Action-Rationale,,,0.4824475865431497,0.46805826426133595,0.49829960994636757,,
clean,official_test,unsafe_acceptance_rate_90,lower,4557,model_estimate,Joint-Calibrated,,,0.4824475865431497,0.46805826426133595,0.49829960994636757,,
clean,official_test,unsafe_acceptance_rate_90,lower,4557,paired_contrast,Joint Action-Rationale,Action-Only,Joint Action-Rationale - Action-Only,-0.020234032179424655,-0.03340443686006829,-0.005607020965382736,0.002,0.998
clean,official_test,unsafe_acceptance_rate_90,lower,4557,paired_contrast,Joint-Calibrated,Action-Only,Joint-Calibrated - Action-Only,-0.020234032179424655,-0.03340443686006829,-0.005607020965382736,0.002,0.998
clean,official_test,unsafe_acceptance_rate_90,lower,4557,paired_contrast,Joint-Calibrated,Joint Action-Rationale,Joint-Calibrated - Joint Action-Rationale,0.0,0.0,0.0,0.0,0.0
consistency,blur,action_flip_rate,lower,4557,model_estimate,Action-Only,,,0.13956550362080317,0.12969058591178406,0.14922097871406628,,
consistency,blur,action_flip_rate,lower,4557,model_estimate,Joint Action-Rationale,,,0.1465876673249945,0.13649330700021944,0.15646807109940747,,
