threshold,model,action_macro_f1,rationale_macro_f1,aurc,unsafe_acceptance_rate_90,ece,exact_set_error_rate,mean_action_flip_rate,mean_rationale_jaccard
0.3,Action-Only,0.6860000070917394,,0.4083375184681967,0.5236470014627012,0.5062978686111204,0.5617730963353084,0.14944042132982227,
0.3,Joint Action-Rationale,0.7001451947621071,0.34519204430230566,0.3976998514248356,0.5070697220867869,0.4908744972893627,0.54421768707483,0.13532294638285422,0.9082971949660562
0.3,Joint-Calibrated,0.6984890871366496,0.34519204430230566,0.45167680404419247,0.6043393466601658,0.4639383969160612,0.641211323238973,0.1432228805500695,0.9082971949660562
0.35,Action-Only,0.6829462842722216,,0.4082292005433125,0.5185275475377864,0.4986173770596612,0.554092604783849,0.141540487162607,
0.35,Joint Action-Rationale,0.6991033609502525,0.33743155776793965,0.3921152713028855,0.49585568015602144,0.47814682557551597,0.5314900153609831,0.12822763514007754,0.9057682058998715
0.35,Joint-Calibrated,0.703794182185639,0.33743155776793965,0.4215266178631958,0.5577766942954656,0.4180748902230614,0.5953478165459732,0.14753858532660377,0.9057682058998715
0.4,Action-Only,0.6816414026450983,,0.39965904419537374,0.507557289127255,0.4858897053458143,0.5413649330700022,0.1380294053105113,
0.4,Joint Action-Rationale,0.6931193057550697,0.32698844959226847,0.39144757793696033,0.4929302779132131,0.4746357437234202,0.5279789335088875,0.12303415990051936,0.9022407529319972
0.4,Joint-Calibrated,0.7037115901327295,0.32698844959226847,0.40158867138698046,0.5207215992198927,0.3814279733918128,0.5587008997147246,0.13890717577353523,0.9022407529319972
0.45,Action-Only,0.6785547134067346,,0.40099982603478523,0.5041443198439786,0.4808425251834268,0.5363177529076146,0.1328359300709531,
0.45,Joint Action-Rationale,0.6907276081171985,0.31487621561918727,0.38998554585466144,0.48683568990736226,0.46673580955620503,0.5200789993416721,0.11981566820276497,0.9034367151878673
0.45,Joint-Calibrated,0.6977009273815271,0.31487621561918727,0.3914263933908467,0.49414919551438324,0.3529004333435353,0.5301733596664472,0.12632579913685904,0.9034367151878673
0.5,Action-Only,0.6760957628448777,,0.4000262648084986,0.5026816187225743,0.4775508859470871,0.533026113671275,0.12654524175261503,
0.5,Joint Action-Rationale,0.6865757074165373,0.3009910922159824,0.3896950874006301,0.4824475865431497,0.4616886293938175,0.5150318191792846,0.1239850779021286,0.9025089605734767
0.5,Joint-Calibrated,0.6865757074165373,0.3009910922159824,0.3896950874006301,0.4824475865431497,0.3377588928563727,0.5150318191792846,0.1239850779021286,0.9025089605734767
0.55,Action-Only,0.6720411748004067,,0.3987619240070573,0.5012189176011702,0.4751370171737713,0.5306122448979592,0.12669153682978568,
0.55,Joint Action-Rationale,0.682024495701114,0.28661477511517636,0.389226861165355,0.4809848854217455,0.4601525310835256,0.5134957208689928,0.11915734035549704,0.9017043376490381
0.55,Joint-Calibrated,0.6764633977841776,0.28661477511517636,0.38481295846460006,0.4736713798147245,0.3313950569994494,0.5086679833223612,0.11052593080242851,0.9017043376490381
0.6,Action-Only,0.6679634239220893,,0.3996527691384686,0.500243783520234,0.47382036147923545,0.5292955892034233,0.12522858605807916,
0.6,Joint Action-Rationale,0.6798265240042254,0.2661312923702025,0.3871763157558307,0.4756216479765968,0.45708033446294194,0.5104235242484091,0.1152073732718894,0.9036342135420475
0.6,Joint-Calibrated,0.6571677349242102,0.2661312923702025,0.38783598617172726,0.4761092150170648,0.34434217132905215,0.521615097651964,0.10672225879599152,0.9036342135420475
0.65,Action-Only,0.6629847863150236,,0.40185471156198405,0.500243783520234,0.4744786893265034,0.5299539170506913,0.12493599590373784,
0.65,Joint Action-Rationale,0.6755801071673101,0.24838752319345492,0.3848801186033782,0.4734275962944905,0.4548859083053821,0.5082290980908493,0.10979445541657523,0.9026954867968692
0.65,Joint-Calibrated,0.637526177913045,0.24838752319345492,0.3979126622865197,0.48756704046806437,0.3614586953580186,0.5387316216809305,0.10928242264647796,0.9026954867968692
0.7,Action-Only,0.6561077731756257,,0.4072998689080955,0.5024378352023403,0.478209213794355,0.5336844415185429,0.1258869139053471,
0.7,Joint Action-Rationale,0.6647039200495435,0.2269820255480192,0.3892379403086716,0.4765967820575329,0.4621275146253294,0.5154707044107966,0.10869724233779533,0.9025674786043449
0.7,Joint-Calibrated,0.610873404354879,0.2269820255480192,0.4166372290490703,0.5221843003412969,0.39261954679536776,0.5698924731182796,0.10211396386511595,0.9025674786043449
