"audit_index","dataset_index","file_name","brightness_semantic_unchanged","blur_semantic_unchanged","noise_semantic_unchanged","review_notes"
"1","104","a72e1c9a-bf71b1e7_3.jpg","true","true","true","Codex model-output-blind visual audit of all 20 contact sheets; no traffic-semantic change observed."
"2","121","7457452c-f79cce78_1.jpg","true","true","true",""
"3","176","0193a01e-90028c79_1.jpg","true","true","true",""
"4","330","8ed3282a-03a939b0_1.jpg","true","true","true",""
"5","356","c1ed2bc1-883eb236_3.jpg","true","true","true",""
"6","420","46fa9792-d8fd4055_1.jpg","true","true","true",""
"7","461","33092e7f-4cc2f6bc_3.jpg","true","true","true",""
"8","524","4c753273-33ed2c89_3.jpg","true","true","true",""
"9","528","080a57f6-f8696896_3.jpg","true","true","true",""
"10","554","52d52e88-5d3abf84_3.jpg","true","true","true",""
"11","575","7abc9a80-8d07d2de_1.jpg","true","true","true",""
"12","632","7db25184-198ee7be_1.jpg","true","true","true",""
"13","666","147745bb-99af0e39_1.jpg","true","true","true",""
"14","785","8a5995a3-1ac5dd1d_1.jpg","true","true","true",""
"15","794","1154eff3-8d3d8564_1.jpg","true","true","true",""
"16","835","616e8b43-dc670fd6_3.jpg","true","true","true",""
"17","836","9da1aebb-3eb3b7ec_3.jpg","true","true","true",""
"18","851","ab82ec13-028202a6_3.jpg","true","true","true",""
"19","867","a63a9bdd-a43cb52f_1.jpg","true","true","true",""
"20","905","182dc406-f7c6d06d_1.jpg","true","true","true",""
"21","929","4f644812-091ee23f_3.jpg","true","true","true",""
"22","1102","13d73740-68a2ef75_1.jpg","true","true","true",""
"23","1113","2c20f167-2b54cdab_3.jpg","true","true","true",""
"24","1180","76f36318-81acd734_1.jpg","true","true","true",""
"25","1252","ba163cd8-1403cad9_3.jpg","true","true","true",""
"26","1289","c25f97e6-2007b36c_3.jpg","true","true","true",""
"27","1296","c2d07fa1-f6cebd10_3.jpg","true","true","true",""
"28","1317","00690c26-e4bbbd72_1.jpg","true","true","true",""
"29","1327","5fdbef13-64c8cb10_3.jpg","true","true","true",""
"30","1351","c5bc3aa9-0d55c4f9_1.jpg","true","true","true",""
"31","1422","a1babb9f-5baef01e_1.jpg","true","true","true",""
"32","1435","525df851-6aa3e2ee_1.jpg","true","true","true",""
"33","1460","3842e612-d3158d4e_3.jpg","true","true","true",""
"34","1549","bfd64d5f-f98204af_1.jpg","true","true","true",""
"35","1611","a43eadfd-371cd817_1.jpg","true","true","true",""
"36","1630","2b03d428-2e61a6e9_1.jpg","true","true","true",""
"37","1677","354112b0-72296756_1.jpg","true","true","true",""
"38","1762","b27098c3-dedf92b2_1.jpg","true","true","true",""
"39","1783","9e4acc2f-6c0b2890_3.jpg","true","true","true",""
"40","1852","0f8553a2-99c35cca_1.jpg","true","true","true",""
"41","1889","6ea8a222-c0e2a0a0_3.jpg","true","true","true",""
"42","1907","af4d5031-9e5f1873_3.jpg","true","true","true",""
"43","2022","36663e5c-ab56584f_1.jpg","true","true","true",""
"44","2112","384a88d4-259f71f6_3.jpg","true","true","true",""
"45","2125","445a7dcb-1d3c0a40_1.jpg","true","true","true",""
"46","2201","027b216c-bfae3d6d_1.jpg","true","true","true",""
"47","2217","640a649f-93798bed_3.jpg","true","true","true",""
"48","2267","8c8cd27f-1f7c0061_3.jpg","true","true","true",""
"49","2284","2e598e8d-21a7e13f_1.jpg","true","true","true",""
"50","2323","c6bd6f3b-d6ad11b5_1.jpg","true","true","true",""
"51","2326","0034a363-24f318c4.jpg","true","true","true",""
"52","2373","07184fbb-0a78715a.jpg","true","true","true",""
"53","2460","0f031f4c-26af012b.jpg","true","true","true",""
"54","2492","11d76328-03fa268a.jpg","true","true","true",""
"55","2559","18e3a82e-07dccb71.jpg","true","true","true",""
"56","2625","1ff3a1da-32705b84.jpg","true","true","true",""
"57","2747","2c919e7c-afd0b234.jpg","true","true","true",""
"58","2748","2c9bd44c-d47404e9.jpg","true","true","true",""
"59","2781","300e816b-55ec9689.jpg","true","true","true",""
"60","2869","38a9a91f-16401979.jpg","true","true","true",""
"61","2947","423f7032-3c5bf22c.jpg","true","true","true",""
"62","3001","47d4f767-a1dbd271.jpg","true","true","true",""
"63","3124","53e3a21e-ce6743b6.jpg","true","true","true",""
"64","3244","5fec1001-c2382cff.jpg","true","true","true",""
"65","3290","648d81d8-b8cda858.jpg","true","true","true",""
"66","3374","6d58f563-c52ce268.jpg","true","true","true",""
"67","3422","7170cba6-dd72fe05.jpg","true","true","true",""
"68","3434","72ab637b-aecc1fb3.jpg","true","true","true",""
"69","3456","7449b65e-447306e7.jpg","true","true","true",""
"70","3565","8018af16-270ae545.jpg","true","true","true",""
"71","3589","8281391f-ef4128bd.jpg","true","true","true",""
"72","3613","85ce05d6-1850506e.jpg","true","true","true",""
