record_type,family,axis,estimate,pointwise_lower,pointwise_upper,bonferroni_probability,bonferroni_lower,passed,component,threshold
family_axis_gate,brightness,A,-0.002445754641353615,-0.005509016834243389,-0.0017158638835298291,0.004166666666666667,-0.006327073654463902,False,,
family_axis_gate,brightness,R,-0.0003673117163684347,-0.0022471297232017737,0.000308863702889209,0.004166666666666667,-0.0029897176319435355,False,,
family_axis_gate,brightness,S,-0.0035724879611341853,-0.00857719933789722,-0.0027642548000806834,0.004166666666666667,-0.009938822976243501,False,,
family_axis_gate,brightness,C1,0.02416721527320586,0.019152655953024653,0.027769002291398618,0.004166666666666667,0.017410942299206266,True,,
practical_endpoint,brightness,,0.0031862156139695007,-0.0008763258489890845,0.007115561591942458,,,False,A::action_only,0.01
practical_endpoint,brightness,,0.0017512248567700395,-0.0021169945072379913,0.005414666822027855,,,False,A::joint,0.01
practical_endpoint,brightness,,0.004390621734716699,0.0019020939103844214,0.0069582547965940855,,,False,R::joint_rationale,0.01
practical_endpoint,brightness,,0.005789324643693394,-0.0023554352502039235,0.01391568545738854,,,False,S::action_only,0.01
practical_endpoint,brightness,,0.0036243494257483188,-0.002810682413018969,0.010255884226674583,,,False,S::joint,0.01
practical_endpoint,brightness,,0.1932411674347158,0.183216276402327,0.20361962741306955,,,True,C1::action_only_flip,0.025
practical_endpoint,brightness,,0.1707702435813035,0.14104664224664223,0.1947043315610268,,,True,C1::joint_flip,0.025
practical_endpoint,brightness,,0.14594396898544268,0.13114442320681235,0.1576996097658889,,,True,C1::joint_rationale_jaccard,0.025
family_axis_gate,blur,A,-0.001337477086085026,-0.004039841471783217,-0.0006384321381372954,0.004166666666666667,-0.004892175001709236,False,,
family_axis_gate,blur,R,-0.00050387373521385,-0.0017362069233854461,0.0002777743299663095,0.004166666666666667,-0.0021725557166012393,False,,
family_axis_gate,blur,S,-0.004632217779757896,-0.011507446904528462,-0.0029772050626510694,0.004166666666666667,-0.013750358637830666,False,,
family_axis_gate,blur,C1,0.031688245190549226,0.026547320510481195,0.036195775806152804,0.004166666666666667,0.024812217845368103,True,,
practical_endpoint,blur,,0.014164701268367908,0.007438841465697196,0.021428590839309786,,,True,A::action_only,0.01
practical_endpoint,blur,,0.012241205170437674,0.004554886505069661,0.020077550130570793,,,True,A::joint,0.01
practical_endpoint,blur,,0.005899618606872109,0.0020400612111991833,0.010485453492007548,,,False,R::joint_rationale,0.01
practical_endpoint,blur,,0.00561467946751919,-0.005395579968397981,0.01603158860094137,,,False,S::action_only,0.01
practical_endpoint,blur,,0.0021274833691440898,-0.011482764087472327,0.0147083288429726,,,False,S::joint,0.01
practical_endpoint,blur,,0.2650427913100724,0.24935313829586958,0.28060507765327036,,,True,C1::action_only_flip,0.025
practical_endpoint,blur,,0.2323897300855826,0.2000837805506414,0.2571437924798902,,,True,C1::joint_flip,0.025
practical_endpoint,blur,,0.22418257625630827,0.20795717165702052,0.2385415696050109,,,True,C1::joint_rationale_jaccard,0.025
family_axis_gate,noise,A,-0.0021737376468742298,-0.004608689775564704,-0.001510967435186037,0.004166666666666667,-0.005193726007830747,False,,
family_axis_gate,noise,R,-0.0002871121650661446,-0.0018038970024213117,0.00035645396104924844,0.004166666666666667,-0.0022377044771330606,False,,
family_axis_gate,noise,S,-0.007419719883246967,-0.01222506641735096,-0.005857285769709777,0.004166666666666667,-0.01378022141225757,False,,
family_axis_gate,noise,C1,0.024353741496598632,0.01850987606647798,0.026680080612871398,0.004166666666666667,0.017203838848458445,True,,
practical_endpoint,noise,,0.013365118844788127,0.0069717609443818085,0.020034665059781537,,,True,A::action_only,0.01
practical_endpoint,noise,,-0.0006462367646945966,-0.0048937599130136795,0.0037666614096967567,,,False,A::joint,0.01
practical_endpoint,noise,,0.004911363012329884,0.001775235996935906,0.0083022392491752,,,False,R::joint_rationale,0.01
practical_endpoint,noise,,-0.00671789384590552,-0.014315642123352164,0.0012875939157605545,,,False,S::action_only,0.01
practical_endpoint,noise,,-0.00655574089332569,-0.013853645278850442,0.0005196872405493401,,,False,S::joint,0.01
practical_endpoint,noise,,0.19688391485626508,0.18399098030004035,0.20968390034954704,,,True,C1::action_only_flip,0.025
practical_endpoint,noise,,0.16032477507131887,0.1325972885829919,0.18250966919631656,,,True,C1::joint_flip,0.025
practical_endpoint,noise,,0.14249359959037286,0.11944808159104889,0.16049410385995733,,,True,C1::joint_rationale_jaccard,0.025
