record_type,seed,family,axis,component,level,value,class_index,f1,target_positive,predicted_positive,diagnostic
primary_curve,43,brightness,A,action_only,0,0.6688743764074188,,,,,
primary_curve,43,brightness,A,action_only,1,0.6700302051120027,,,,,
primary_curve,43,brightness,A,action_only,2,0.6700698785430048,,,,,
primary_curve,43,brightness,A,action_only,3,0.6703026664278428,,,,,
primary_curve,43,brightness,A,action_only,4,0.6666312103984133,,,,,
primary_curve,43,brightness,A,joint,0,0.6891555466668658,,,,,
primary_curve,43,brightness,A,joint,1,0.688226620517296,,,,,
primary_curve,43,brightness,A,joint,2,0.687691939104718,,,,,
primary_curve,43,brightness,A,joint,3,0.6885060311350821,,,,,
primary_curve,43,brightness,A,joint,4,0.6876252962281537,,,,,
primary_curve,43,blur,A,action_only,0,0.6688743764074188,,,,,
primary_curve,43,blur,A,action_only,1,0.6703797823814559,,,,,
primary_curve,43,blur,A,action_only,2,0.6673590392063753,,,,,
primary_curve,43,blur,A,action_only,3,0.6649314079685187,,,,,
primary_curve,43,blur,A,action_only,4,0.65751327970112,,,,,
primary_curve,43,blur,A,joint,0,0.6891555466668658,,,,,
primary_curve,43,blur,A,joint,1,0.6897944133146906,,,,,
primary_curve,43,blur,A,joint,2,0.6891441616302987,,,,,
primary_curve,43,blur,A,joint,3,0.683986996912309,,,,,
primary_curve,43,blur,A,joint,4,0.6764111376287231,,,,,
primary_curve,43,noise,A,action_only,0,0.6688743764074188,,,,,
primary_curve,43,noise,A,action_only,1,0.6653021505967608,,,,,
primary_curve,43,noise,A,action_only,2,0.6612733692534685,,,,,
primary_curve,43,noise,A,action_only,3,0.6549479335283943,,,,,
primary_curve,43,noise,A,action_only,4,0.6557281752787214,,,,,
primary_curve,43,noise,A,joint,0,0.6891555466668658,,,,,
primary_curve,43,noise,A,joint,1,0.6864786119912626,,,,,
primary_curve,43,noise,A,joint,2,0.6883146155726667,,,,,
primary_curve,43,noise,A,joint,3,0.6846049792358757,,,,,
primary_curve,43,noise,A,joint,4,0.6857549345197791,,,,,
primary_curve,43,brightness,R,joint_rationale,0,0.28431101754148225,,,,,
primary_curve,43,brightness,R,joint_rationale,1,0.28427257972487957,,,,,
primary_curve,43,brightness,R,joint_rationale,2,0.28429007891741037,,,,,
primary_curve,43,brightness,R,joint_rationale,3,0.28273927249717334,,,,,
primary_curve,43,brightness,R,joint_rationale,4,0.2803939126205514,,,,,
primary_curve,43,blur,R,joint_rationale,0,0.28431101754148225,,,,,
primary_curve,43,blur,R,joint_rationale,1,0.28393246472338723,,,,,
primary_curve,43,blur,R,joint_rationale,2,0.28230257530934616,,,,,
primary_curve,43,blur,R,joint_rationale,3,0.27970994342300176,,,,,
primary_curve,43,blur,R,joint_rationale,4,0.2774146079466324,,,,,
primary_curve,43,noise,R,joint_rationale,0,0.28431101754148225,,,,,
primary_curve,43,noise,R,joint_rationale,1,0.28410818802451243,,,,,
primary_curve,43,noise,R,joint_rationale,2,0.28266720367811604,,,,,
primary_curve,43,noise,R,joint_rationale,3,0.2789406832792137,,,,,
primary_curve,43,noise,R,joint_rationale,4,0.2751111736806583,,,,,
primary_curve,43,brightness,S,action_only,0,0.3734811551677485,,,,,
primary_curve,43,brightness,S,action_only,1,0.3733028263532398,,,,,
primary_curve,43,brightness,S,action_only,2,0.3726503155830897,,,,,
primary_curve,43,brightness,S,action_only,3,0.3668277842343812,,,,,
primary_curve,43,brightness,S,action_only,4,0.37429103237206407,,,,,
primary_curve,43,brightness,S,joint,0,0.3580065360573614,,,,,
primary_curve,43,brightness,S,joint,1,0.3608087337438074,,,,,
primary_curve,43,brightness,S,joint,2,0.3612815771540439,,,,,
primary_curve,43,brightness,S,joint,3,0.3586599836988562,,,,,
primary_curve,43,brightness,S,joint,4,0.362768651477686,,,,,
primary_curve,43,blur,S,action_only,0,0.3734811551677485,,,,,
primary_curve,43,blur,S,action_only,1,0.37430177539392373,,,,,
primary_curve,43,blur,S,action_only,2,0.38125344245159515,,,,,
primary_curve,43,blur,S,action_only,3,0.38250352640287777,,,,,
primary_curve,43,blur,S,action_only,4,0.3812330088617132,,,,,
primary_curve,43,blur,S,joint,0,0.3580065360573614,,,,,
primary_curve,43,blur,S,joint,1,0.3580719080137134,,,,,
primary_curve,43,blur,S,joint,2,0.361391116102656,,,,,
primary_curve,43,blur,S,joint,3,0.3628388466194812,,,,,
primary_curve,43,blur,S,joint,4,0.3623289230647942,,,,,
primary_curve,43,noise,S,action_only,0,0.3734811551677485,,,,,
primary_curve,43,noise,S,action_only,1,0.3710119755814433,,,,,
primary_curve,43,noise,S,action_only,2,0.3628895426372737,,,,,
primary_curve,43,noise,S,action_only,3,0.36639308336191523,,,,,
primary_curve,43,noise,S,action_only,4,0.3659513357306943,,,,,
primary_curve,43,noise,S,joint,0,0.3580065360573614,,,,,
primary_curve,43,noise,S,joint,1,0.36221632050936453,,,,,
primary_curve,43,noise,S,joint,2,0.3575190685208947,,,,,
primary_curve,43,noise,S,joint,3,0.35743062459018055,,,,,
primary_curve,43,noise,S,joint,4,0.35658592612240936,,,,,
primary_curve,43,brightness,C1,action_only_flip,0,0.0,,,,,
primary_curve,43,brightness,C1,action_only_flip,1,0.06166337502743033,,,,,
primary_curve,43,brightness,C1,action_only_flip,2,0.09940750493745885,,,,,
primary_curve,43,brightness,C1,action_only_flip,3,0.14527101163045864,,,,,
primary_curve,43,brightness,C1,action_only_flip,4,0.18499012508229098,,,,,
primary_curve,43,brightness,C1,joint_flip,0,0.0,,,,,
primary_curve,43,brightness,C1,joint_flip,1,0.06692999780557385,,,,,
primary_curve,43,brightness,C1,joint_flip,2,0.10226025894228659,,,,,
primary_curve,43,brightness,C1,joint_flip,3,0.14987930656133422,,,,,
primary_curve,43,brightness,C1,joint_flip,4,0.1911345183234584,,,,,
primary_curve,43,brightness,C1,joint_rationale_jaccard,0,1.0,,,,,
primary_curve,43,brightness,C1,joint_rationale_jaccard,1,0.9526918294199402,,,,,
primary_curve,43,brightness,C1,joint_rationale_jaccard,2,0.9264976958525352,,,,,
primary_curve,43,brightness,C1,joint_rationale_jaccard,3,0.8800892399970751,,,,,
primary_curve,43,brightness,C1,joint_rationale_jaccard,4,0.8454941116231448,,,,,
primary_curve,43,blur,C1,action_only_flip,0,0.0,,,,,
primary_curve,43,blur,C1,action_only_flip,1,0.045205178845731844,,,,,
primary_curve,43,blur,C1,action_only_flip,2,0.11367127496159754,,,,,
primary_curve,43,blur,C1,action_only_flip,3,0.19047619047619047,,,,,
primary_curve,43,blur,C1,action_only_flip,4,0.25170068027210885,,,,,
primary_curve,43,blur,C1,joint_flip,0,0.0,,,,,
primary_curve,43,blur,C1,joint_flip,1,0.04542462146148782,,,,,
primary_curve,43,blur,C1,joint_flip,2,0.130348913759052,,,,,
primary_curve,43,blur,C1,joint_flip,3,0.1946456001755541,,,,,
primary_curve,43,blur,C1,joint_flip,4,0.2477507131885012,,,,,
primary_curve,43,blur,C1,joint_rationale_jaccard,0,1.0,,,,,
primary_curve,43,blur,C1,joint_rationale_jaccard,1,0.9691427108477801,,,,,
primary_curve,43,blur,C1,joint_rationale_jaccard,2,0.9029661326896352,,,,,
primary_curve,43,blur,C1,joint_rationale_jaccard,3,0.8317716333845372,,,,,
primary_curve,43,blur,C1,joint_rationale_jaccard,4,0.7693804403481829,,,,,
primary_curve,43,noise,C1,action_only_flip,0,0.0,,,,,
primary_curve,43,noise,C1,action_only_flip,1,0.08141321044546851,,,,,
primary_curve,43,noise,C1,action_only_flip,2,0.12793504498573624,,,,,
primary_curve,43,noise,C1,action_only_flip,3,0.16282642089093702,,,,,
primary_curve,43,noise,C1,action_only_flip,4,0.18762343647136273,,,,,
primary_curve,43,noise,C1,joint_flip,0,0.0,,,,,
primary_curve,43,noise,C1,joint_flip,1,0.07702435813034891,,,,,
primary_curve,43,noise,C1,joint_flip,2,0.12354619267061663,,,,,
primary_curve,43,noise,C1,joint_flip,3,0.15602369980250164,,,,,
primary_curve,43,noise,C1,joint_flip,4,0.18981786262892253,,,,,
primary_curve,43,noise,C1,joint_rationale_jaccard,0,1.0,,,,,
primary_curve,43,noise,C1,joint_rationale_jaccard,1,0.9423487674639751,,,,,
primary_curve,43,noise,C1,joint_rationale_jaccard,2,0.903010021212787,,,,,
primary_curve,43,noise,C1,joint_rationale_jaccard,3,0.8645234437861177,,,,,
primary_curve,43,noise,C1,joint_rationale_jaccard,4,0.8330407431789932,,,,,
action_class,43,brightness,A,action_only,0,,0,0.8052702964541756,2484,2677,
action_class,43,brightness,A,action_only,0,,1,0.7457627118644068,2103,1968,
action_class,43,brightness,A,action_only,0,,2,0.5471698113207547,1225,1001,
action_class,43,brightness,A,action_only,0,,3,0.5772946859903382,1339,1145,
safety_diagnostic,43,brightness,S,action_only,0,0.3734811551677485,,,,,tie_averaged_aurc
safety_diagnostic,43,brightness,S,action_only,0,0.3734892826339159,,,,,canonical_stable_aurc
safety_diagnostic,43,brightness,S,action_only,0,0.49658703071672355,,,,,unsafe_acceptance_rate_90
safety_diagnostic,43,brightness,S,action_only,0,0.6808949572611617,,,,,correctness_auroc
safety_diagnostic,43,brightness,S,action_only,0,0.3282950660194483,,,,,ece
safety_diagnostic,43,brightness,S,action_only,0,0.5244678516567918,,,,,exact_set_error_rate
safety_diagnostic,43,brightness,S,action_only,0,0.210989010989011,,,,,highest_confidence_decile_error_rate
safety_diagnostic,43,brightness,S,action_only,0,0.7758241758241758,,,,,lowest_confidence_decile_error_rate
action_class,43,brightness,A,joint,0,,0,0.8076699593259733,2484,2679,
action_class,43,brightness,A,joint,0,,1,0.7603833865814696,2103,1966,
action_class,43,brightness,A,joint,0,,2,0.5779697624190064,1225,1090,
action_class,43,brightness,A,joint,0,,3,0.6105990783410138,1339,1265,
safety_diagnostic,43,brightness,S,joint,0,0.3580065360573614,,,,,tie_averaged_aurc
safety_diagnostic,43,brightness,S,joint,0,0.3580176254209994,,,,,canonical_stable_aurc
safety_diagnostic,43,brightness,S,joint,0,0.48147245246221354,,,,,unsafe_acceptance_rate_90
safety_diagnostic,43,brightness,S,joint,0,0.6920750096448349,,,,,correctness_auroc
safety_diagnostic,43,brightness,S,joint,0,0.3285913191828831,,,,,ece
safety_diagnostic,43,brightness,S,joint,0,0.5104235242484091,,,,,exact_set_error_rate
safety_diagnostic,43,brightness,S,joint,0,0.2153846153846154,,,,,highest_confidence_decile_error_rate
safety_diagnostic,43,brightness,S,joint,0,0.7714285714285715,,,,,lowest_confidence_decile_error_rate
rationale_class,43,brightness,R,joint_rationale,0,,0,0.6458961474036851,1574,1411,
rationale_class,43,brightness,R,joint_rationale,0,,1,0.5051792828685259,667,588,
rationale_class,43,brightness,R,joint_rationale,0,,2,0.39372138652714195,941,588,
rationale_class,43,brightness,R,joint_rationale,0,,3,0.6126418152350082,1083,768,
rationale_class,43,brightness,R,joint_rationale,0,,4,0.48123620309050774,302,151,
rationale_class,43,brightness,R,joint_rationale,0,,5,0.0,39,0,
rationale_class,43,brightness,R,joint_rationale,0,,6,0.0,34,0,
rationale_class,43,brightness,R,joint_rationale,0,,7,0.7474120082815735,1037,895,
rationale_class,43,brightness,R,joint_rationale,0,,8,0.0,89,0,
rationale_class,43,brightness,R,joint_rationale,0,,9,0.0,29,0,
rationale_class,43,brightness,R,joint_rationale,0,,10,0.0,136,0,
rationale_class,43,brightness,R,joint_rationale,0,,11,0.0,68,0,
rationale_class,43,brightness,R,joint_rationale,0,,12,0.0,23,0,
rationale_class,43,brightness,R,joint_rationale,0,,13,0.022598870056497175,175,2,
rationale_class,43,brightness,R,joint_rationale,0,,14,0.0,69,0,
rationale_class,43,brightness,R,joint_rationale,0,,15,0.5469387755102041,860,610,
rationale_class,43,brightness,R,joint_rationale,0,,16,0.38537699923838536,897,416,
rationale_class,43,brightness,R,joint_rationale,0,,17,0.4225865209471767,713,385,
rationale_class,43,brightness,R,joint_rationale,0,,18,0.6171320397539044,1182,931,
rationale_class,43,brightness,R,joint_rationale,0,,19,0.2721217887725975,826,225,
rationale_class,43,brightness,R,joint_rationale,0,,20,0.3176895306859206,403,151,
action_class,43,brightness,A,action_only,1,,0,0.8079085094010467,2484,2675,
action_class,43,brightness,A,action_only,1,,1,0.7489611341970178,2103,1988,
action_class,43,brightness,A,action_only,1,,2,0.543154089471306,1225,988,
action_class,43,brightness,A,action_only,1,,3,0.5800970873786407,1339,1133,
safety_diagnostic,43,brightness,S,action_only,1,0.3733028263532398,,,,,tie_averaged_aurc
safety_diagnostic,43,brightness,S,action_only,1,0.37331622450035884,,,,,canonical_stable_aurc
safety_diagnostic,43,brightness,S,action_only,1,0.49390541199414917,,,,,unsafe_acceptance_rate_90
safety_diagnostic,43,brightness,S,action_only,1,0.6789703682029301,,,,,correctness_auroc
safety_diagnostic,43,brightness,S,action_only,1,0.32609708104968194,,,,,ece
safety_diagnostic,43,brightness,S,action_only,1,0.522492868114988,,,,,exact_set_error_rate
safety_diagnostic,43,brightness,S,action_only,1,0.21318681318681318,,,,,highest_confidence_decile_error_rate
safety_diagnostic,43,brightness,S,action_only,1,0.7802197802197802,,,,,lowest_confidence_decile_error_rate
action_class,43,brightness,A,joint,1,,0,0.8094218415417559,2484,2653,
action_class,43,brightness,A,joint,1,,1,0.7600487210718636,2103,2002,
action_class,43,brightness,A,joint,1,,2,0.5736704446381866,1225,1069,
action_class,43,brightness,A,joint,1,,3,0.609765474817378,1339,1262,
safety_diagnostic,43,brightness,S,joint,1,0.3608087337438074,,,,,tie_averaged_aurc
safety_diagnostic,43,brightness,S,joint,1,0.36081695019985693,,,,,canonical_stable_aurc
safety_diagnostic,43,brightness,S,joint,1,0.48439785470502195,,,,,unsafe_acceptance_rate_90
safety_diagnostic,43,brightness,S,joint,1,0.6920486918240448,,,,,correctness_auroc
safety_diagnostic,43,brightness,S,joint,1,0.33099777591393,,,,,ece
safety_diagnostic,43,brightness,S,joint,1,0.5128373930217248,,,,,exact_set_error_rate
safety_diagnostic,43,brightness,S,joint,1,0.22197802197802197,,,,,highest_confidence_decile_error_rate
safety_diagnostic,43,brightness,S,joint,1,0.7692307692307693,,,,,lowest_confidence_decile_error_rate
rationale_class,43,brightness,R,joint_rationale,1,,0,0.6453781512605042,1574,1401,
rationale_class,43,brightness,R,joint_rationale,1,,1,0.5024311183144247,667,567,
rationale_class,43,brightness,R,joint_rationale,1,,2,0.39477124183006534,941,589,
rationale_class,43,brightness,R,joint_rationale,1,,3,0.6138933764135702,1083,774,
rationale_class,43,brightness,R,joint_rationale,1,,4,0.48,302,148,
rationale_class,43,brightness,R,joint_rationale,1,,5,0.0,39,0,
rationale_class,43,brightness,R,joint_rationale,1,,6,0.0,34,0,
rationale_class,43,brightness,R,joint_rationale,1,,7,0.7465295629820051,1037,908,
rationale_class,43,brightness,R,joint_rationale,1,,8,0.0,89,0,
rationale_class,43,brightness,R,joint_rationale,1,,9,0.0,29,0,
rationale_class,43,brightness,R,joint_rationale,1,,10,0.0,136,0,
rationale_class,43,brightness,R,joint_rationale,1,,11,0.0,68,0,
rationale_class,43,brightness,R,joint_rationale,1,,12,0.0,23,0,
rationale_class,43,brightness,R,joint_rationale,1,,13,0.022598870056497175,175,2,
