map_id,seed,axis,model,q,metric,estimate,gate_component,expected_direction
map00,43,A,action_only,0.0,macro_f1,0.6688743764074188,True,decreasing
map00,43,A,action_only,0.0,micro_f1,0.7060679959833597,False,diagnostic_only
map00,43,A,action_only,0.0,per_class_f1::Forward,0.8052702964541756,False,diagnostic_only
map00,43,A,action_only,0.0,target_positive_count::Forward,2484,False,diagnostic_only
map00,43,A,action_only,0.0,predicted_positive_count::Forward,2677,False,diagnostic_only
map00,43,A,action_only,0.0,per_class_f1::Stop,0.7457627118644068,False,diagnostic_only
map00,43,A,action_only,0.0,target_positive_count::Stop,2103,False,diagnostic_only
map00,43,A,action_only,0.0,predicted_positive_count::Stop,1968,False,diagnostic_only
map00,43,A,action_only,0.0,per_class_f1::Left,0.5471698113207547,False,diagnostic_only
map00,43,A,action_only,0.0,target_positive_count::Left,1225,False,diagnostic_only
map00,43,A,action_only,0.0,predicted_positive_count::Left,1001,False,diagnostic_only
map00,43,A,action_only,0.0,per_class_f1::Right,0.5772946859903382,False,diagnostic_only
map00,43,A,action_only,0.0,target_positive_count::Right,1339,False,diagnostic_only
map00,43,A,action_only,0.0,predicted_positive_count::Right,1145,False,diagnostic_only
map00,43,S,action_only,0.0,tie_averaged_aurc,0.3734811551677466,True,increasing
map00,43,S,action_only,0.0,canonical_stable_aurc,0.3734892826339159,False,diagnostic_only
map00,43,S,action_only,0.0,unsafe_acceptance_rate_90,0.49658703071672355,False,diagnostic_only
map00,43,S,action_only,0.0,correctness_auroc,0.6808949572611617,False,diagnostic_only
map00,43,S,action_only,0.0,ece,0.3282950660194483,False,diagnostic_only
map00,43,S,action_only,0.0,exact_set_error_rate,0.5244678516567918,False,diagnostic_only
map00,43,S,action_only,0.0,highest_confidence_decile_error_rate,0.210989010989011,False,diagnostic_only
map00,43,S,action_only,0.0,lowest_confidence_decile_error_rate,0.7758241758241758,False,diagnostic_only
map00,43,C1,action_only,0.0,action_flip::brightness,0.09940750493745885,False,diagnostic_only
map00,43,C1,action_only,0.0,action_flip::blur,0.11367127496159754,False,diagnostic_only
map00,43,C1,action_only,0.0,action_flip::noise,0.12793504498573624,False,diagnostic_only
map00,43,C1,action_only,0.0,action_flip::mean_three,0.11367127496159753,True,increasing
map00,43,A,joint,0.0,macro_f1,0.6891555466668658,True,decreasing
map00,43,A,joint,0.0,micro_f1,0.7202317857395237,False,diagnostic_only
map00,43,A,joint,0.0,per_class_f1::Forward,0.8076699593259733,False,diagnostic_only
map00,43,A,joint,0.0,target_positive_count::Forward,2484,False,diagnostic_only
map00,43,A,joint,0.0,predicted_positive_count::Forward,2679,False,diagnostic_only
map00,43,A,joint,0.0,per_class_f1::Stop,0.7603833865814696,False,diagnostic_only
map00,43,A,joint,0.0,target_positive_count::Stop,2103,False,diagnostic_only
map00,43,A,joint,0.0,predicted_positive_count::Stop,1966,False,diagnostic_only
map00,43,A,joint,0.0,per_class_f1::Left,0.5779697624190064,False,diagnostic_only
map00,43,A,joint,0.0,target_positive_count::Left,1225,False,diagnostic_only
map00,43,A,joint,0.0,predicted_positive_count::Left,1090,False,diagnostic_only
map00,43,A,joint,0.0,per_class_f1::Right,0.6105990783410138,False,diagnostic_only
map00,43,A,joint,0.0,target_positive_count::Right,1339,False,diagnostic_only
map00,43,A,joint,0.0,predicted_positive_count::Right,1265,False,diagnostic_only
map00,43,S,joint,0.0,tie_averaged_aurc,0.35800653605736,True,increasing
map00,43,S,joint,0.0,canonical_stable_aurc,0.3580176254209994,False,diagnostic_only
map00,43,S,joint,0.0,unsafe_acceptance_rate_90,0.48147245246221354,False,diagnostic_only
map00,43,S,joint,0.0,correctness_auroc,0.6920750096448349,False,diagnostic_only
map00,43,S,joint,0.0,ece,0.3285913191828831,False,diagnostic_only
map00,43,S,joint,0.0,exact_set_error_rate,0.5104235242484091,False,diagnostic_only
map00,43,S,joint,0.0,highest_confidence_decile_error_rate,0.2153846153846154,False,diagnostic_only
map00,43,S,joint,0.0,lowest_confidence_decile_error_rate,0.7714285714285715,False,diagnostic_only
map00,43,C1,joint,0.0,action_flip::brightness,0.10226025894228659,False,diagnostic_only
map00,43,C1,joint,0.0,action_flip::blur,0.130348913759052,False,diagnostic_only
map00,43,C1,joint,0.0,action_flip::noise,0.12354619267061663,False,diagnostic_only
map00,43,C1,joint,0.0,action_flip::mean_three,0.11871845512398506,True,increasing
map00,43,R,joint,0.0,macro_f1,0.28431101754148225,True,decreasing
map00,43,R,joint,0.0,micro_f1,0.5202539960586818,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::green_light,0.6458961474036851,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::green_light,1574,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::green_light,1411,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::follow,0.5051792828685259,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::follow,667,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::follow,588,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::road_clear,0.39372138652714195,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::road_clear,941,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::road_clear,588,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::red_light,0.6126418152350082,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::red_light,1083,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::red_light,768,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::traffic_sign,0.48123620309050774,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::traffic_sign,302,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::traffic_sign,151,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::car,0.0,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::car,39,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::car,0,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::person,0.0,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::person,34,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::person,0,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::rider,0.7474120082815735,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::rider,1037,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::rider,895,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::other_obstacle,0.0,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::other_obstacle,89,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::other_obstacle,0,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::left_lane,0.0,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::left_lane,29,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::left_lane,0,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::left_green_light,0.0,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::left_green_light,136,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::left_green_light,0,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::left_follow,0.0,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::left_follow,68,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::left_follow,0,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::no_left_lane,0.0,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::no_left_lane,23,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::no_left_lane,0,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::left_obstacle,0.022598870056497175,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::left_obstacle,175,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::left_obstacle,2,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::left_solid_line,0.0,False,diagnostic_only
map00,43,R,joint,0.0,target_positive_count::left_solid_line,69,False,diagnostic_only
map00,43,R,joint,0.0,predicted_positive_count::left_solid_line,0,False,diagnostic_only
map00,43,R,joint,0.0,per_class_f1::right_lane,0.5469387755102041,False,diagnostic_only
