metric,mean_across_seeds,sd_across_seeds,hierarchical_ci_lower,hierarchical_ci_upper
action_flip_rate_blur::Action-Only,0.12688172043010754,0.009171283776761248,0.11814680710994076,0.13504608294930875
action_flip_rate_blur::Joint Action-Rationale,0.11770901909150758,0.021793756426467706,0.09773754663155586,0.13153390388413427
action_flip_rate_brightness::Action-Only,0.10111915734035551,0.00495668361238979,0.0956769804696072,0.10673688830370857
action_flip_rate_brightness::Joint Action-Rationale,0.08755760368663594,0.02344495576334845,0.06740838270792186,0.10428022822032036
action_flip_rate_mean_three::Action-Only,0.1185429010313803,0.006141257546530372,0.11288091580718308,0.12426303854875283
action_flip_rate_mean_three::Joint Action-Rationale,0.10243581303489138,0.021562499861861956,0.08337356447955527,0.11643625192012289
action_flip_rate_noise::Action-Only,0.12762782532367786,0.008447258152409043,0.119596225587009,0.13548496818082073
action_flip_rate_noise::Joint Action-Rationale,0.10204081632653061,0.02054749382927647,0.08364933070002195,0.11678845731841123
action_macro_f1::Action-Only,0.6740501115284726,0.007762208256881623,0.6663042760194143,0.6819338568556327
action_macro_f1::Joint Action-Rationale,0.6855859853354236,0.005937934340147165,0.6791239227939492,0.6921792720753392
action_micro_f1::Action-Only,0.7096820548309706,0.004852128669602356,0.7040308355855485,0.7156156062996468
action_micro_f1::Joint Action-Rationale,0.7187830661105028,0.003753992128431407,0.7136874934025678,0.7240293689869185
advantage_action_flip_rate_blur::Action-Joint,0.009172701338599955,0.022548943412489992,-0.008427693658108406,0.028223612025455327
advantage_action_flip_rate_brightness::Action-Joint,0.013561553653719555,0.02277524702703725,-0.00355716480140443,0.03199473337722186
advantage_action_flip_rate_mean_three::Action-Joint,0.016107087996488918,0.020113272156788205,0.0010090702947845778,0.03281435154707042
advantage_action_flip_rate_noise::Action-Joint,0.025587008997147255,0.016719885740145657,0.011322141759929783,0.03958964230853631
aurc::Action-Only,0.38882409328343187,0.011159723592609283,0.3764674896703155,0.4006368458127709
aurc::Joint Action-Rationale,0.3722272509161375,0.022285765557162263,0.3524066997384557,0.39023158344815473
delta_action_macro_f1::Joint-Action,0.01153587380695098,0.012717946627540526,0.001590257203564117,0.021806661779489526
delta_aurc::Joint-Action,-0.016596842367294407,0.018883185970400517,-0.03355802443121559,-0.0003998776103776196
delta_ece_calibrated::Joint-Action,0.00045412059962033344,0.023039738732017985,-0.020440229698383144,0.016290533106273274
delta_ece_uncalibrated::Joint-Action,-0.038578444137564914,0.05378084102652682,-0.08648161562450489,-0.005421594322207566
delta_unsafe_acceptance_rate_90::Joint-Action,-0.011067771818625071,0.0165284507591681,-0.026036079960994628,0.002000243783520249
ece_calibrated::Action-Only,0.3240072168864709,0.004124431252549603,0.31678963436739543,0.3308474680912908
ece_calibrated::Joint Action-Rationale,0.32446133748609124,0.023604140797377358,0.3030977229409394,0.3405773160562586
ece_uncalibrated::Action-Only,0.4589695699378976,0.007461196344749375,0.4502607471221698,0.46715125126385
ece_uncalibrated::Joint Action-Rationale,0.42039112580033267,0.05996515584524484,0.36715153790116484,0.4561667954807621
rationale_jaccard_blur_empty_empty_fraction::Joint Action-Rationale,0.12661838929120034,0.03402952900147614,0.10195303928022822,0.15488698705288564
rationale_jaccard_blur_unconditional::Joint Action-Rationale,0.9015580425718674,0.014231604403495862,0.8909147099700095,0.91345269182942
rationale_jaccard_blur_union_nonempty_conditional::Joint Action-Rationale,0.8874997989384072,0.014035495764235732,0.8764822792365912,0.8987740710890509
rationale_jaccard_brightness_empty_empty_fraction::Joint Action-Rationale,0.12982225148123766,0.031986951097947254,0.10625301733596662,0.15659534781654597
rationale_jaccard_brightness_unconditional::Joint Action-Rationale,0.9300285275400484,0.00960794924121196,0.922506930729281,0.9385606027357178
rationale_jaccard_brightness_union_nonempty_conditional::Joint Action-Rationale,0.9198161453301145,0.00853130308124719,0.912811798550064,0.9275152962957458
rationale_jaccard_mean_three::Joint Action-Rationale,0.9160032184916979,0.011742036221982222,0.9080902579669862,0.9265515873015873
rationale_jaccard_noise_empty_empty_fraction::Joint Action-Rationale,0.12754004827737547,0.03477365821373806,0.10247640991880624,0.15698924731182795
rationale_jaccard_noise_unconditional::Joint Action-Rationale,0.9164230853631775,0.013847547662786773,0.9066694096993637,0.9285816509399457
rationale_jaccard_noise_union_nonempty_conditional::Joint Action-Rationale,0.9045676148938376,0.012854538259993161,0.8953629216353433,0.9159116342554849
rationale_macro_f1::Joint Action-Rationale,0.27358892695121106,0.02294289057402136,0.256070571146934,0.29287163778895875
rationale_micro_f1::Joint Action-Rationale,0.503061855632136,0.02474395742857122,0.48354562275570895,0.5224618346099211
unsafe_acceptance_rate_90::Action-Only,0.490931253047294,0.0065853144448156245,0.4823013164310093,0.49995368113115557
unsafe_acceptance_rate_90::Joint Action-Rationale,0.47986348122866895,0.01704358918411595,0.4642052657240371,0.49234641638225257
